condition,global_flicker_risk,global_blur_risk,global_temporal_risk,global_quality_risk,face_flicker_risk,face_blur_risk,face_temporal_risk,face_quality_risk,final_quality_risk,quality_reliability_score
mixed_whole,0.8210170617459452,0.7058337204693724,0.7707030268316614,0.7359351779181839,0.5875197557328522,0.6107478812645472,0.17637907694125432,0.5399457767390351,0.6183415372106945,0.38165846278930543
light_flicker_whole,0.9208080389447731,0.029789368179542575,0.9516997273844116,0.595523568512579,0.7491499862888977,0.0,0.39390856870462265,0.4103608611764602,0.4844259441109077,0.5155740558890923
motion_blur_whole,0.009690924499474438,0.7977816828491915,0.005813381941704324,0.28426263518534767,0.0003537342896267387,0.7741848845111184,0.0,0.3098331342347794,0.2996049346150067,0.7003950653849933
light_flicker_face,0.30907667803195926,0.0,0.1178645159526489,0.1506967838634812,0.7318540118419704,0.0,0.3614290822556576,0.39358726525658483,0.2964310726993434,0.7035689273006566
light_flicker_background,0.9002640366011341,0.026300134635063033,0.9365721368181673,0.5826855736474276,0.0024378487296809275,0.00024321510739159068,0.0027477296683262823,0.0025715890475098715,0.23461718288747702,0.7653828171125231
motion_blur_face,0.0011065439769769546,0.05832866116247989,0.0,0.02085764899765874,0.0009533911738744019,0.678882831628932,0.0,0.2719821586798163,0.17153235480695328,0.8284676451930467
motion_blur_background,0.008203553441617181,0.7459479945812005,0.00724258547554526,0.2658117365751761,3.289522480430529e-05,0.03293495262339661,0.0,0.013213734000320982,0.11425293503026303,0.885747064969737
ghosting_whole,0.0005877068782885108,0.040696069641358246,0.0,0.014605473069225237,0.0014271954761898896,0.1034100910712728,0.0001381035223614575,0.04208979928629076,0.031096068799464555,0.9689039312005354
clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
